Epoch 053 | Train Loss: 23389.7706 | Train MAE: 69.8211 | Val MAE: 69.7010 | Val RMSE: 151.7201
Epoch 054 | Train Loss: 23348.9384 | Train MAE: 65.3860 | Val MAE: 65.4015 | Val RMSE: 150.9348
Epoch 055 | Train Loss: 22864.7921 | Train MAE: 67.3855 | Val MAE: 67.0780 | Val RMSE: 150.3068
Epoch 056 | Train Loss: 22747.5406 | Train MAE: 60.4340 | Val MAE: 60.8455 | Val RMSE: 149.9505
Epoch 057 | Train Loss: 22696.8047 | Train MAE: 62.6140 | Val MAE: 62.4314 | Val RMSE: 149.2607
Epoch 058 | Train Loss: 22466.8679 | Train MAE: 61.8875 | Val MAE: 61.9656 | Val RMSE: 149.3573
Epoch 059 | Train Loss: 22323.1023 | Train MAE: 63.3165 | Val MAE: 63.5465 | Val RMSE: 150.9209
Epoch 060 | Train Loss: 22266.3067 | Train MAE: 57.9272 | Val MAE: 58.4422 | Val RMSE: 148.9098
Epoch 061 | Train Loss: 22073.6570 | Train MAE: 61.3487 | Val MAE: 61.1297 | Val RMSE: 148.9612
Epoch 062 | Train Loss: 22242.3247 | Train MAE: 58.3634 | Val MAE: 58.7189 | Val RMSE: 149.5112
Epoch 063 | Train Loss: 22301.6920 | Train MAE: 58.5377 | Val MAE: 58.7974 | Val RMSE: 148.0603
Epoch 064 | Train Loss: 22071.8730 | Train MAE: 53.6981 | Val MAE: 54.0159 | Val RMSE: 147.6754
Epoch 065 | Train Loss: 21826.7386 | Train MAE: 57.1931 | Val MAE: 57.5255 | Val RMSE: 147.5237
Epoch 066 | Train Loss: 21823.1552 | Train MAE: 57.2006 | Val MAE: 57.3863 | Val RMSE: 148.0081
Epoch 067 | Train Loss: 21665.3276 | Train MAE: 59.2886 | Val MAE: 60.2502 | Val RMSE: 148.9916
Epoch 068 | Train Loss: 21652.5964 | Train MAE: 50.1834 | Val MAE: 50.8045 | Val RMSE: 146.8832
Epoch 069 | Train Loss: 21561.8108 | Train MAE: 51.1638 | Val MAE: 51.8089 | Val RMSE: 146.8877
Epoch 070 | Train Loss: 21568.4206 | Train MAE: 52.8405 | Val MAE: 53.4571 | Val RMSE: 147.4383
Epoch 071 | Train Loss: 21641.2840 | Train MAE: 53.8713 | Val MAE: 54.3983 | Val RMSE: 146.9359
Epoch 072 | Train Loss: 21666.1130 | Train MAE: 52.8390 | Val MAE: 53.1970 | Val RMSE: 146.4085
Epoch 073 | Train Loss: 21360.9160 | Train MAE: 55.9673 | Val MAE: 56.4416 | Val RMSE: 146.1983
Epoch 074 | Train Loss: 21259.4524 | Train MAE: 51.7304 | Val MAE: 52.0777 | Val RMSE: 146.1232
Epoch 075 | Train Loss: 21258.7089 | Train MAE: 50.4781 | Val MAE: 51.2651 | Val RMSE: 146.3120
Epoch 076 | Train Loss: 21177.9294 | Train MAE: 50.6064 | Val MAE: 51.3313 | Val RMSE: 146.4128
Epoch 077 | Train Loss: 21281.2829 | Train MAE: 57.6220 | Val MAE: 58.2099 | Val RMSE: 148.3340
Epoch 078 | Train Loss: 21254.4067 | Train MAE: 51.3825 | Val MAE: 51.8262 | Val RMSE: 145.4873
Epoch 079 | Train Loss: 21087.1415 | Train MAE: 51.9613 | Val MAE: 53.3117 | Val RMSE: 146.6335
Epoch 080 | Train Loss: 21128.0205 | Train MAE: 51.2830 | Val MAE: 51.7250 | Val RMSE: 145.9299
Epoch 081 | Train Loss: 21136.1724 | Train MAE: 46.5174 | Val MAE: 47.2326 | Val RMSE: 145.7808
Epoch 082 | Train Loss: 21198.4930 | Train MAE: 52.0633 | Val MAE: 52.7042 | Val RMSE: 146.5425
Epoch 083 | Train Loss: 21162.0253 | Train MAE: 46.7105 | Val MAE: 47.3236 | Val RMSE: 145.6844
Epoch 084 | Train Loss: 21170.0132 | Train MAE: 51.2967 | Val MAE: 52.0959 | Val RMSE: 147.1428
Epoch 085 | Train Loss: 21165.4490 | Train MAE: 59.4318 | Val MAE: 59.7549 | Val RMSE: 147.3198
Epoch 086 | Train Loss: 21162.8344 | Train MAE: 62.2516 | Val MAE: 62.8440 | Val RMSE: 148.6650
Epoch 087 | Train Loss: 20994.5457 | Train MAE: 52.7661 | Val MAE: 53.2312 | Val RMSE: 145.6452
Epoch 088 | Train Loss: 21057.6419 | Train MAE: 46.2699 | Val MAE: 47.1703 | Val RMSE: 145.1397
Epoch 089 | Train Loss: 20985.5514 | Train MAE: 56.6554 | Val MAE: 57.3641 | Val RMSE: 147.6936
Epoch 090 | Train Loss: 21098.4198 | Train MAE: 59.4140 | Val MAE: 60.2541 | Val RMSE: 148.2837
Epoch 091 | Train Loss: 21011.7047 | Train MAE: 46.8112 | Val MAE: 47.5443 | Val RMSE: 145.0887
Epoch 092 | Train Loss: 20851.6941 | Train MAE: 49.7741 | Val MAE: 50.3162 | Val RMSE: 145.4014
Epoch 093 | Train Loss: 20827.3004 | Train MAE: 46.5611 | Val MAE: 47.6788 | Val RMSE: 145.9297
Epoch 094 | Train Loss: 20866.2000 | Train MAE: 49.5407 | Val MAE: 50.0945 | Val RMSE: 145.6192
Epoch 095 | Train Loss: 20772.3308 | Train MAE: 53.7482 | Val MAE: 54.5652 | Val RMSE: 147.7379
Epoch 096 | Train Loss: 21011.9462 | Train MAE: 51.0922 | Val MAE: 51.7317 | Val RMSE: 145.8632
Epoch 097 | Train Loss: 20865.2148 | Train MAE: 56.7480 | Val MAE: 57.3248 | Val RMSE: 147.8797
Epoch 098 | Train Loss: 20955.2343 | Train MAE: 47.7072 | Val MAE: 48.5010 | Val RMSE: 145.3769
Epoch 099 | Train Loss: 20690.7267 | Train MAE: 46.6632 | Val MAE: 47.7367 | Val RMSE: 145.2717
Epoch 100 | Train Loss: 20963.1127 | Train MAE: 48.9104 | Val MAE: 50.0678 | Val RMSE: 145.8722
Epoch 101 | Train Loss: 20736.7770 | Train MAE: 46.7442 | Val MAE: 47.4769 | Val RMSE: 145.7094
Epoch 102 | Train Loss: 20855.1640 | Train MAE: 52.2762 | Val MAE: 53.7458 | Val RMSE: 146.0270
Epoch 103 | Train Loss: 20758.5348 | Train MAE: 47.7309 | Val MAE: 49.0918 | Val RMSE: 146.5877
Epoch 104 | Train Loss: 20910.9282 | Train MAE: 49.5170 | Val MAE: 50.7647 | Val RMSE: 146.3228
Epoch 105 | Train Loss: 20822.6411 | Train MAE: 47.8737 | Val MAE: 49.0351 | Val RMSE: 145.0653
Epoch 106 | Train Loss: 20898.8127 | Train MAE: 48.6194 | Val MAE: 49.2846 | Val RMSE: 146.0585
Epoch 107 | Train Loss: 20608.5124 | Train MAE: 46.8687 | Val MAE: 47.9538 | Val RMSE: 145.4729
Epoch 108 | Train Loss: 20712.4719 | Train MAE: 46.5720 | Val MAE: 47.6015 | Val RMSE: 145.9186
Epoch 109 | Train Loss: 20718.1303 | Train MAE: 50.3409 | Val MAE: 50.8612 | Val RMSE: 146.1773
Epoch 110 | Train Loss: 20754.0264 | Train MAE: 46.7824 | Val MAE: 48.0274 | Val RMSE: 145.8768
Epoch 111 | Train Loss: 20974.1313 | Train MAE: 55.6167 | Val MAE: 56.0085 | Val RMSE: 146.2424
Epoch 112 | Train Loss: 20640.6918 | Train MAE: 49.3102 | Val MAE: 50.5206 | Val RMSE: 146.0654
Epoch 113 | Train Loss: 20699.4582 | Train MAE: 50.1694 | Val MAE: 50.8617 | Val RMSE: 145.2655
Epoch 114 | Train Loss: 20744.2434 | Train MAE: 58.4037 | Val MAE: 59.5900 | Val RMSE: 147.1537
Epoch 115 | Train Loss: 20880.5999 | Train MAE: 58.7517 | Val MAE: 59.7734 | Val RMSE: 148.3431
Epoch 116 | Train Loss: 20853.4490 | Train MAE: 47.2677 | Val MAE: 48.9904 | Val RMSE: 145.3082
Epoch 117 | Train Loss: 20644.7835 | Train MAE: 51.3837 | Val MAE: 52.3881 | Val RMSE: 146.4419
Epoch 118 | Train Loss: 20702.7534 | Train MAE: 56.1586 | Val MAE: 57.3622 | Val RMSE: 148.2442
Epoch 119 | Train Loss: 20860.6642 | Train MAE: 51.3762 | Val MAE: 52.7266 | Val RMSE: 146.1594
Epoch 120 | Train Loss: 20681.8230 | Train MAE: 47.4145 | Val MAE: 49.0254 | Val RMSE: 145.6080
Epoch 121 | Train Loss: 20605.5971 | Train MAE: 56.2541 | Val MAE: 57.8474 | Val RMSE: 149.1676
Epoch 122 | Train Loss: 20608.3779 | Train MAE: 50.6406 | Val MAE: 51.8078 | Val RMSE: 145.2970
Epoch 123 | Train Loss: 20500.3036 | Train MAE: 53.4868 | Val MAE: 54.9821 | Val RMSE: 147.0404
Epoch 124 | Train Loss: 20445.9197 | Train MAE: 53.7738 | Val MAE: 55.0825 | Val RMSE: 147.9815
Epoch 125 | Train Loss: 21331.5050 | Train MAE: 49.4537 | Val MAE: 51.3393 | Val RMSE: 146.4256
Early stopping at epoch 125
